Order Date,Order Quantity,Sales ID,Sales,Product Name,Product Sub-Category,Product Category,Discount,Unit Price,Product Base Margin,Profit,Product ID,Advertising Expenditure,Sales Representative,Product Review Rating,Customer ID,Customer Name,Customer Segment,Email ID,Address,Region,Region ID
10/13/2010,6,101,224.2944,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,Office Supplies,0.04,38.94,0.8,177.56640000000002,OF_01,1.947,1,3,CG-12520,Claire Gute,Small Business,claire_gute@example.com,"Henderson, Kentucky",South,1
10/1/2012,49,102,9485.8512,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Office Supplies,0.07,208.16,0.58,5201.918399999999,OF_02,10.408000000000001,1,1,CG-12520,Claire Gute,Consumer,claire_gute@example.com,"Henderson, Kentucky",South,1
10/1/2012,27,103,232.28369999999998,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Office Supplies,0.01,8.69,0.39,89.1594,OF_03,0.4345,1,5,DV-13045,Darrin Van Huff,Consumer,darrin_huff@example.com,"Los Angeles, California",West,2
7/10/2011,30,104,5409.3240000000005,R380,Telephones and Communication,Technology,0.08,195.99,0.58,2939.8500000000004,TE_01,29.3985,3,1,SO-20335,Sean O'Donnell,Corporate,sean_o'donnell@example.com,"Fort Lauderdale, Florida",South,1
8/28/2010,19,105,380.7144,Holmes HEPA Air Purifier,Appliances,Office Supplies,0.08,21.78,0.5,173.8044,OF_04,1.0890000000000002,2,2,SO-20335,Sean O'Donnell,Consumer,sean_o'donnell@example.com,"Fort Lauderdale, Florida",South,1
8/28/2010,21,106,132.468,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Furniture,0.05,6.64,0.37,44.62079999999999,FU_01,0.664,3,2,BH-11710,Brosina Hoffman,Consumer,brosina_hoffman@example.com,"Los Angeles, California",West,2
6/17/2011,12,107,84.972,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Office Supplies,0.03,7.3,0.38,30.659999999999997,OF_05,0.365,1,5,BH-11710,Brosina Hoffman,Corporate,brosina_hoffman@example.com,"Los Angeles, California",West,2
6/17/2011,22,108,856.0552,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,Office Supplies,0.09,42.76,,,OF_06,2.138,2,4,BH-11710,Brosina Hoffman,Corporate,brosina_hoffman@example.com,"Los Angeles, California",West,2
3/24/2011,21,109,2697.8741999999993,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,Office Supplies,0.07,138.14,,,OF_07,6.907,1,5,BH-11710,Brosina Hoffman,Corporate,brosina_hoffman@example.com,"Los Angeles, California",West,2
2/26/2010,44,110,203.7816,Xerox 198,Paper,Office Supplies,0.07,4.98,0.38,67.9272,OF_08,0.24900000000000003,2,4,BH-11710,Brosina Hoffman,Home Office,brosina_hoffman@example.com,"Los Angeles, California",West,2
11/23/2010,45,111,190.67400000000004,Xerox 1980,Paper,Office Supplies,0.01,4.28,0.4,75.11400000000003,OF_09,0.21400000000000002,1,3,BH-11710,Brosina Hoffman,Home Office,brosina_hoffman@example.com,"Los Angeles, California",West,2
11/23/2010,32,112,121.344,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,Office Supplies,0.04,3.95,0.53,61.93599999999999,OF_10,0.1975,1,4,BH-11710,Brosina Hoffman,Home Office,brosina_hoffman@example.com,"Los Angeles, California",West,2
6/8/2012,32,113,696.96,Holmes HEPA Air Purifier,Appliances,Office Supplies,0.0,21.78,0.5,348.48,OF_04,1.0890000000000002,2,4,AA-10480,Andrew Allen,Home Office,andrew_allen@example.com,"Concord, North Carolina",South,1
6/8/2012,31,114,1427.8847999999998,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Computer Peripherals,Technology,0.04,47.98,0.71,996.5445999999997,TE_02,7.196999999999999,1,4,IM-15070,Irene Maddox,Home Office,irene_maddox@example.com,"Seattle, Washington",West,2
8/4/2012,15,115,77.616,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Binders and Binder Accessories,Office Supplies,0.02,5.28,0.37,27.72,OF_11,0.264,2,5,HP-14815,Harold Pawlan,Small Business,harold_pawlan@example.com,"Fort Worth, Texas",Central,3
5/30/2011,46,116,1779.8918,Ultra Commercial Grade Dual Valve Door Closer,Office Furnishings,Furniture,0.03,39.89,0.53,917.47,FU_02,3.9890000000000003,2,3,HP-14815,Harold Pawlan,Home Office,harold_pawlan@example.com,"Fort Worth, Texas",Central,3
11/25/2009,16,117,234.2112,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Office Supplies,0.07,15.74,0.4,83.1072,OF_12,0.787,2,4,PK-19075,Pete Kriz,Small Business,pete_kriz@example.com,"Madison, Wisconsin",Central,3
2/14/2012,44,118,4265.3952,Hon 4-Shelf Metal Bookcases,Bookcases,Furniture,0.04,100.98,0.6,2488.1472,FU_03,10.098,3,4,AG-10270,Alejandro Grove,Home Office,alejandro_grove@example.com,"West Jordan, Utah",West,2
2/14/2012,11,119,588.8025,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,Furniture,0.25,71.37,0.68,337.5801,FU_04,7.1370000000000005,2,5,ZD-21925,Zuschuss Donatelli,Home Office,zuschuss_donatelli@example.com,"San Francisco, California",West,2
4/15/2012,15,120,930.4589999999998,g520,Telephones and Communication,Technology,0.06,65.99,0.59,524.6204999999998,TE_03,9.898499999999999,1,1,ZD-21925,Zuschuss Donatelli,Corporate,zuschuss_donatelli@example.com,"San Francisco, California",West,2
4/15/2012,18,121,2779.7418000000002,LX 788,Telephones and Communication,Technology,0.01,155.99,0.58,1600.4574,TE_04,23.398500000000002,2,1,ZD-21925,Zuschuss Donatelli,Corporate,zuschuss_donatelli@example.com,"San Francisco, California",West,2
3/12/2010,13,122,43.173,Avery 52,Labels,Office Supplies,0.1,3.69,0.38,13.431600000000003,OF_13,0.1845,1,4,KB-16585,Ken Black,Consumer,ken_black@example.com,"Fremont, Nebraska",Central,3
3/12/2010,21,123,93.9645,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,Office Supplies,0.05,4.71,0.8,74.1825,OF_14,0.23550000000000001,2,5,KB-16585,Ken Black,Consumer,ken_black@example.com,"Fremont, Nebraska",Central,3
3/9/2011,33,124,474.903,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Office Supplies,0.1,15.99,0.37,142.47090000000003,OF_15,0.7995000000000001,2,5,SF-20065,Sandra Flanagan,Corporate,sandra_flanagan@example.com,"Philadelphia, Pennsylvania",East,4
3/9/2011,38,125,176.52899999999997,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,Technology,0.05,4.89,0.66,113.35019999999997,TE_05,0.7334999999999999,3,3,EB-13870,Emily Burns,Corporate,emily_burns@example.com,"Orem, Utah",West,2
8/4/2012,30,126,78.624,Newell 335,Pens & Art Supplies,Office Supplies,0.09,2.88,0.56,40.608,OF_16,0.144,1,3,EH-13945,Eric Hoffmann,Home Office,eric_hoffmann@example.com,"Los Angeles, California",West,2
5/6/2011,23,127,61.40079999999999,SANFORD Liquid Accent Tank-Style Highlighters,Pens & Art Supplies,Office Supplies,0.06,2.84,0.54,31.353599999999993,OF_17,0.142,1,4,EH-13945,Eric Hoffmann,Home Office,eric_hoffmann@example.com,"Los Angeles, California",West,2
